Timestamp,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,Label
1764557667.6151752,-7,-1,2,2,2,7,0,-7,rest
1764557667.6151752,-30,-4,-1,-3,-4,-11,-9,-2,rest
1764557667.616178,-1,-4,-3,-2,-4,-7,2,4,rest
1764557667.616178,-5,1,-2,-2,-2,10,7,-12,rest
1764557667.6374767,-18,2,1,-1,-2,-27,3,-6,rest
1764557667.6374767,-12,0,1,2,6,26,-11,2,rest
1764557667.638544,3,-1,-1,1,-4,-6,1,-10,rest
1764557667.638544,1,-3,-1,0,0,8,6,-2,rest
1764557667.6523905,10,0,-1,-1,-2,1,7,4,rest
1764557667.6523905,8,-2,-2,-3,-2,-5,-7,-6,rest
1764557667.6533895,-41,-4,-2,-1,1,4,3,2,rest
1764557667.6533895,21,1,-1,-1,-2,-9,-7,0,rest
1764557667.6747565,11,-2,-1,1,0,9,6,0,rest
1764557667.6747565,1,-1,1,0,2,-1,-3,-2,rest
1764557667.6757557,15,1,1,-1,-5,-5,3,2,rest
1764557667.6757557,4,0,-1,2,-3,-11,-4,-10,rest
1764557667.6980596,-5,-1,-1,-1,1,19,-9,0,rest
1764557667.6980596,-1,-3,-3,-2,3,5,5,1,rest
1764557667.6980596,-7,-2,-1,-1,-2,-9,-6,-3,rest
1764557667.6980596,-9,-1,-1,-2,2,14,34,-2,rest
1764557667.7121105,5,0,-2,-2,-11,-21,-6,-4,rest
1764557667.7121105,35,3,-2,-1,2,-10,4,9,rest
1764557667.7131104,0,0,2,0,0,3,-5,-1,rest
1764557667.7131104,31,0,1,0,-1,-2,-12,8,rest
1764557667.7353387,-3,-3,-3,-4,1,-10,8,7,rest
1764557667.7353387,-9,-1,0,0,1,9,-1,-5,rest
1764557667.7353387,4,-3,-2,-1,-3,-2,6,0,rest
1764557667.7353387,10,-1,0,0,2,2,-16,-4,rest
1764557667.7580855,-21,-1,1,0,-2,1,3,-8,rest
1764557667.7580855,12,-1,0,0,-1,-5,-2,-3,rest
1764557667.7580855,-1,0,-1,-2,0,2,-1,-2,rest
1764557667.7580855,-10,-3,-3,-3,-1,0,0,-1,rest
