Timestamp,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,Label
1764557676.6833248,-5,-1,-1,-2,-2,-12,-12,-6,rest
1764557676.6833248,-2,-1,1,1,1,9,14,1,rest
1764557676.6853259,-11,-2,-2,1,1,-1,0,-18,rest
1764557676.6853259,-3,0,-1,0,-3,0,-1,-9,rest
1764557676.6979249,-1,-3,-4,0,1,2,-11,-3,rest
1764557676.6979249,-15,-1,0,-3,0,7,2,7,rest
1764557676.699982,6,-1,-1,-2,-1,-8,-11,1,rest
1764557676.699982,-17,0,2,3,0,-2,-1,-6,rest
1764557676.7208958,9,1,0,0,-3,1,9,-4,rest
1764557676.7208958,1,-1,-1,1,1,-2,-9,-1,rest
1764557676.7220283,-12,-2,1,0,0,-3,3,-5,rest
1764557676.7220283,10,0,-1,-4,-5,5,-2,5,rest
1764557676.7428372,-14,-1,-1,-3,-2,-19,0,3,rest
1764557676.7428372,-1,0,-1,1,2,36,2,-1,rest
1764557676.7449098,-16,-3,-1,0,-1,-4,10,-6,rest
1764557676.7449098,4,0,-1,2,1,6,-9,2,rest
1764557676.758109,3,-3,-2,0,-1,-1,-1,-5,rest
1764557676.758109,13,2,1,-1,-4,-12,1,5,rest
1764557676.7601295,24,2,-1,-1,1,1,-9,-8,rest
1764557676.7601295,11,-1,-1,-2,-2,-17,4,22,rest
1764557676.7802784,12,0,-1,-3,2,3,4,13,rest
1764557676.7802784,-37,-3,-2,-1,-3,-16,-12,-5,rest
1764557676.7823315,48,1,1,0,1,16,-2,8,rest
1764557676.7823315,-5,-4,-3,-3,-2,-16,-8,-6,rest
1764557676.8027322,-17,-2,0,0,-2,-2,-1,-4,rest
1764557676.8027322,11,-1,-1,2,0,2,12,4,rest
1764557676.8047333,-37,-3,-3,-3,0,-5,-9,-18,rest
1764557676.8047333,29,0,-4,-4,-9,-9,2,11,rest
1764557676.8177786,15,0,0,1,13,31,4,4,rest
1764557676.8177786,-6,1,0,0,-2,-5,-7,-10,rest
1764557676.824202,-8,-1,2,0,0,-3,4,-4,rest
1764557676.824202,0,-1,0,1,0,8,4,-6,rest
1764557676.8402464,-3,-1,-1,-1,-4,-2,-1,4,rest
1764557676.8412464,-5,-1,0,-2,-1,-12,2,0,rest
1764557676.8427513,-28,1,-2,0,0,2,2,4,rest
1764557676.8427513,52,-1,0,-1,4,18,-4,-7,rest
1764557676.8629937,1,1,-1,-1,-3,-11,4,13,rest
1764557676.8629937,-1,-1,-1,1,-1,-2,-8,-1,rest
1764557676.8650188,2,1,-1,-3,-1,-4,3,1,rest
1764557676.8650188,-20,-1,1,1,-1,8,-4,-3,rest
1764557676.8771174,-13,-1,-1,1,-3,-3,-1,-7,rest
1764557676.8771174,12,0,-1,-1,0,-1,-2,0,rest
1764557676.884636,-4,-1,-2,-2,1,1,1,-1,rest
1764557676.884636,-5,-1,0,-1,0,1,3,-3,rest
1764557676.9008777,-8,-1,-2,-4,-3,-6,-1,-6,rest
1764557676.9008777,5,1,0,-2,-1,3,-1,0,rest
1764557676.9070432,0,-2,1,1,0,-11,3,-2,rest
1764557676.9070432,-12,0,1,2,4,25,-16,-5,rest
1764557676.9234776,6,0,1,1,-3,-4,5,2,rest
1764557676.9234776,-4,-2,1,2,1,1,-15,0,rest
1764557676.924483,4,-2,-1,2,-3,-4,5,-1,rest
1764557676.924483,-1,-1,1,-1,-2,-1,-4,-4,rest
1764557676.93758,-7,-3,-2,-1,-3,1,-7,-7,rest
1764557676.93758,-1,-1,-2,-1,-1,-1,-10,0,rest
1764557676.9441042,1,-1,0,-2,1,-1,-2,-2,rest
1764557676.9441042,-10,-1,-2,-1,-3,-1,8,0,rest
1764557676.9603019,0,0,-1,-1,1,-3,5,-1,rest
1764557676.9603019,0,-2,0,-1,0,-2,-1,0,rest
1764557676.9623451,-7,0,-1,1,-2,-1,-4,-3,rest
1764557676.9623451,-7,-1,0,0,-2,0,6,-2,rest
1764557676.982827,0,-1,0,-1,0,0,1,0,rest
1764557676.982827,2,0,-2,0,-1,-3,0,-3,rest
1764557676.9848294,-1,-1,1,1,1,2,0,1,rest
1764557676.9848294,0,-2,1,0,2,-1,4,1,rest
1764557676.9978268,0,-3,3,2,1,-3,-2,-1,rest
1764557676.9978268,0,14,-8,-3,0,0,-5,0,rest
1764557677.0048275,0,-5,0,-1,0,3,28,1,rest
1764557677.0048275,-1,6,0,-1,1,-3,-1,0,rest
1764557677.021571,-3,-2,8,1,2,0,1,-4,rest
1764557677.0225708,0,-2,6,4,-3,-4,-4,0,rest
1764557677.0235713,-1,-12,-23,-10,-2,1,-6,-3,rest
1764557677.0235713,0,-1,0,-2,-4,-6,2,-1,rest
1764557677.043741,-2,-2,-7,-4,-2,-1,7,0,rest
1764557677.043741,0,-3,6,2,2,1,-3,1,rest
1764557677.0447423,1,2,6,3,-1,0,-7,2,rest
1764557677.0447423,-1,-2,-1,-2,-2,-7,6,-1,rest
1764557677.0577862,-1,0,-4,-1,-2,-3,-7,-4,rest
1764557677.0577862,-1,-3,-2,-2,0,-3,3,-1,rest
1764557677.0647802,-2,1,1,3,0,-5,-4,-3,rest
1764557677.0647802,-3,1,-3,-2,2,2,-6,1,rest
1764557677.0807807,1,3,0,0,-3,-6,9,3,rest
1764557677.0807807,0,-5,-4,-3,-2,-2,-5,-3,rest
1764557677.0827832,0,2,-2,-1,1,4,-3,0,rest
1764557677.0827832,1,1,4,0,0,-5,0,-1,rest
1764557677.1027803,0,-2,-9,-4,-1,0,-9,1,rest
1764557677.1027803,-3,-2,-1,0,-1,2,9,1,rest
1764557677.1047816,-2,-1,3,2,-1,0,-3,-1,rest
1764557677.1047816,1,0,-3,0,1,2,-4,-1,rest
1764557677.1167805,0,-2,-2,-1,-1,0,-9,0,rest
1764557677.1167805,0,0,-1,-3,-2,2,26,-1,rest
1764557677.1257808,-2,5,7,2,1,-2,-1,0,rest
1764557677.1257808,-1,-3,1,-1,0,1,7,-3,rest
1764557677.1408436,-2,2,-1,0,-3,2,-12,-1,rest
1764557677.1408436,1,-3,-6,-3,-2,-8,-12,-1,rest
1764557677.1418438,0,2,2,0,-4,3,12,15,rest
1764557677.1418438,-2,-4,-5,0,2,5,-2,2,rest
1764557677.1637568,-1,0,3,0,-1,-2,5,0,rest
1764557677.1637568,-3,-14,-4,-3,-1,0,-1,1,rest
