Timestamp,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,Label
1764557658.5555754,15,-2,-1,-2,2,-2,0,17,rest
1764557658.5555754,-21,-1,0,-1,2,-8,-11,-10,rest
1764557658.5700848,0,-1,0,-1,3,-3,28,2,rest
1764557658.5700848,-14,-2,-1,-1,-9,0,3,-7,rest
1764557658.5713038,-34,-1,0,2,-1,-3,-11,-15,rest
1764557658.5713038,3,-2,-3,-2,5,19,1,4,rest
1764557658.595067,6,0,1,0,-8,-11,-6,0,rest
1764557658.595067,-18,-1,-2,0,-3,-7,5,-7,rest
1764557658.5960925,-1,-1,-1,0,1,3,1,-9,rest
1764557658.5960925,2,0,0,0,4,-1,-1,-1,rest
1764557658.6072118,-16,-1,-1,-1,-2,6,-7,-3,rest
1764557658.6072118,44,0,1,-1,-5,-10,12,7,rest
1764557658.6152859,7,0,-3,-2,2,4,-5,-3,rest
1764557658.6152859,-8,-2,-2,-1,-12,-11,3,-3,rest
1764557658.6309006,-10,-2,1,-1,3,6,-7,-6,rest
1764557658.6309006,-9,0,0,2,-2,-2,-2,2,rest
1764557658.6309006,3,-2,-2,-2,3,1,-9,-1,rest
1764557658.6309006,-15,-4,-1,-2,-11,-37,30,-8,rest
1764557658.652989,-24,-1,-3,-1,5,66,13,36,rest
1764557658.652989,-18,0,1,3,3,-13,-27,-10,rest
1764557658.653992,8,0,-1,-2,-5,-2,3,0,rest
1764557658.653992,-11,0,-1,-1,-1,-12,-10,-5,rest
1764557658.675329,12,-2,-2,0,4,-12,4,-1,rest
1764557658.675329,-17,-2,-2,-2,0,4,8,-1,rest
1764557658.6767445,4,2,0,1,-1,1,-5,4,rest
1764557658.6767445,-8,-2,0,1,1,14,-5,9,rest
1764557658.689762,45,5,0,0,5,-8,-4,-39,rest
1764557658.689762,30,1,1,-1,-7,4,1,-1,rest
1764557658.6907828,-33,-3,0,0,37,-15,2,4,rest
1764557658.6907828,10,-2,-1,-2,2,-6,3,1,rest
1764557658.7134476,-5,-2,2,1,0,28,-5,-10,rest
1764557658.7134476,-21,-3,-2,0,-1,-14,5,-5,rest
1764557658.7144473,13,1,0,-3,-14,2,1,2,rest
1764557658.7144473,2,2,-1,0,4,7,-3,-5,rest
1764557658.7359552,-10,-3,-3,-3,0,-16,-3,3,rest
