Timestamp,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,Label
1764557649.4725957,-3,-2,1,0,0,-4,-2,-5,rest
1764557649.4725957,-36,-3,-3,0,-2,-1,2,-13,rest
1764557649.4881907,6,-1,0,-2,-1,0,-10,2,rest
1764557649.4881907,-13,-1,0,-1,1,-6,16,-3,rest
1764557649.4902263,15,1,0,-1,-1,2,2,4,rest
1764557649.4902263,2,-1,-1,1,1,-1,-16,-1,rest
1764557649.5108857,-6,1,-4,0,-3,-1,10,-3,rest
1764557649.5108857,3,-1,0,-1,-2,-4,-20,-1,rest
1764557649.5128863,1,-1,-2,0,0,-2,0,-2,rest
1764557649.5128863,26,-2,-2,-2,-2,2,-1,7,rest
1764557649.525552,-18,0,2,2,-1,-14,1,6,rest
1764557649.525552,-12,0,-2,-1,2,31,1,3,rest
1764557649.5319633,28,3,0,-2,-5,-10,-11,-3,rest
1764557649.5319633,-2,0,3,1,0,1,8,9,rest
1764557649.548035,18,-1,-2,-1,-1,3,-1,-1,rest
1764557649.548035,-16,-4,-1,-1,-1,-12,-4,2,rest
1764557649.5500677,0,-1,-1,-2,0,3,3,-1,rest
1764557649.5500677,-6,-2,-2,-1,-1,2,-1,-4,rest
1764557649.5710654,25,-2,-1,-3,-1,1,9,-7,rest
1764557649.5710654,22,2,0,1,-3,-7,-29,16,rest
1764557649.572065,-3,1,0,0,2,2,16,-3,rest
1764557649.572065,-31,-1,0,1,2,-5,15,-1,rest
1764557649.5853798,7,0,0,-1,-1,3,-10,1,rest
1764557649.5853798,-6,-2,0,0,-1,-4,5,6,rest
1764557649.5923765,-34,-3,-1,0,-2,1,-3,-1,rest
1764557649.5923765,1,-2,-2,-1,0,-1,-1,1,rest
1764557649.608137,-7,1,-1,-1,1,3,-1,-1,rest
1764557649.608137,7,-1,-1,-2,-2,-4,1,-6,rest
1764557649.6101365,-8,-1,-1,-1,-3,-13,-1,-1,rest
1764557649.6101365,2,-1,-1,-2,2,30,2,-3,rest
1764557649.6307487,2,0,0,1,1,1,0,2,rest
1764557649.6307487,-5,-1,-1,-1,-2,-8,0,-8,rest
1764557649.6327493,-2,-2,1,-1,1,2,-1,-3,rest
1764557649.6327493,27,2,-1,-1,-3,-8,-4,2,rest
1764557649.6443644,3,-2,-4,-3,-1,1,-2,-1,rest
1764557649.6443644,-51,-1,0,-1,-1,-1,0,-7,rest
1764557649.6533666,28,1,0,1,0,0,1,6,rest
