Timestamp,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,Label
1764557640.419701,10,0,1,0,1,3,3,4,rest
1764557640.419701,14,-1,-2,-1,-3,-5,-7,-5,rest
1764557640.4287066,11,0,-2,0,-3,-2,2,-1,rest
1764557640.4287066,-8,-1,-2,1,2,1,4,-2,rest
1764557640.44313,14,0,-1,2,0,0,-7,0,rest
1764557640.44313,-14,-2,-1,-1,0,0,-11,5,rest
1764557640.4451268,3,-1,2,0,-3,-5,5,-10,rest
1764557640.4451268,7,2,0,1,4,1,-3,-1,rest
1764557640.4662378,7,-2,-1,0,-1,-3,-5,1,rest
1764557640.4662378,-11,-2,0,-2,-2,3,5,1,rest
1764557640.4672647,22,3,-1,1,1,-11,-7,6,rest
1764557640.4672647,2,-4,-1,0,1,13,7,13,rest
1764557640.4796667,16,1,1,2,-1,-2,7,11,rest
1764557640.4796667,-21,1,0,0,0,-4,-4,-11,rest
1764557640.4885056,8,1,-1,-3,-3,-1,0,-2,rest
1764557640.4885056,-5,-3,-2,-1,-5,-5,4,-3,rest
1764557640.5040298,-5,-4,-3,-1,1,3,-6,-4,rest
1764557640.5040298,12,-2,-1,-2,-1,-3,0,26,rest
1764557640.5050619,-16,1,2,0,1,3,3,-5,rest
1764557640.5050619,0,-1,1,0,0,-3,0,-1,rest
1764557640.5262582,-1,-1,-4,-3,-1,4,2,1,rest
1764557640.5262582,-1,0,0,1,-3,-2,-6,-11,rest
1764557640.5272577,-2,-3,-2,-4,2,1,-4,-7,rest
1764557640.5272577,40,0,-2,0,-1,-3,-13,7,rest
1764557640.540076,-18,2,1,0,1,-2,3,-6,rest
1764557640.540076,-26,-3,1,-1,1,0,-1,-9,rest
1764557640.5490756,48,1,0,0,0,7,3,12,rest
1764557640.5490756,1,-3,-3,-2,-3,-6,-2,-9,rest
1764557640.563076,0,-1,-1,-1,-1,-16,-21,-4,rest
1764557640.563076,-6,-2,-2,-3,2,13,2,2,rest
1764557640.571076,8,2,1,2,-2,-1,-3,-1,rest
1764557640.571076,-8,0,-1,-1,0,-1,7,-1,rest
1764557640.5860746,9,-1,1,-2,-2,-5,3,0,rest
1764557640.5860746,1,1,-1,-1,-1,-5,-4,1,rest
1764557640.5880752,-18,-3,-3,-4,-1,3,-2,-2,rest
1764557640.5880752,-2,0,-1,0,-1,-4,1,-6,rest
